,count,hate_speech,offensive_language,neither,class,tweet
25297,3,0,0,3,2,Text
25298,3,0,0,3,2,Text
25299,3,0,0,3,2,I'm afraid of the night
25300,3,0,0,3,2,Alexa Secret was created in Costa Rica by Andres Meza
25301,3,0,0,3,2,I have two girlfriends
25302,3,0,0,3,2,I love my girlfriend
25303,3,0,0,3,2,I never play with my brother
25304,3,0,0,3,2,I live in Costa Rica
25305,3,0,0,3,2,I hate when it rains
25306,3,0,0,3,2,I don't want to be alone
25307,3,0,0,3,2,I have 2 girlfriends
25308,3,0,0,3,2,I don't know how to play soccer
25309,3,0,0,3,2,I hate my aunt
25310,3,0,0,3,2,I don't know anything about computers
25311,3,0,0,3,2,I got my girlfriend pregnant
25312,3,0,0,3,2,I have a crush but she doesn't know who I am
25313,3,0,0,3,2,I love creating Alexa apps
25314,3,0,0,3,2,I hate Boston
25315,3,0,0,3,2,if we ever meet again
25316,3,0,0,3,2,how to post break-up
25317,3,0,0,3,2,I wish it would become reality
25318,3,0,0,3,2,music
25319,3,0,0,3,2,I wish this time works
25320,3,0,0,3,2,I broke up with my girlfriend
25321,3,0,0,3,2,I'm always happy
25322,3,0,0,3,2,so yeah
25323,3,3,3,0,0,fuck you
25324,3,0,0,3,2,oh wait what is this now
25325,3,0,0,3,2,grandma is nice
25326,3,0,0,3,2,I keep nutty bars in the fridge
25327,3,0,0,3,2,I always want to give a are is food
25328,3,0,0,3,2,I have no secrets
25329,3,0,0,3,2,I have no secrets
25330,3,0,0,3,2,friends
25331,3,0,0,3,2,I'm tired of being alone I wanna move
25332,3,0,0,3,2,28
25333,3,0,0,3,2,Lauren
25334,3,0,0,3,2,I love spaghetti
25335,3,0,0,3,2,no no no
25336,3,0,0,3,2,shock
25337,3,0,0,3,2,Jesse is the best sister in the world
25338,3,0,0,3,2,yeah
25339,3,0,0,3,2,I love you
25340,3,0,0,3,2,60 9826
25341,3,0,0,3,2,yupp
25342,3,0,0,3,2,continually
25343,3,0,0,3,2,"I got an estimate to redo my kitchen counter tops on Friday August the 12nd 2016 it was for $9,800"
25344,3,0,0,3,2,I stayed in a hotel room and I had scabies
25345,3,0,0,3,2,I'm scared about the future
25346,3,0,0,3,2,I'm afraid to admit I have any talent
25347,3,0,0,3,2,open Seinfeld trivia
25348,3,0,0,3,2,Marcus makes me mad every day
25349,3,3,0,0,0,sex is easy but love is terrifying
25350,3,0,0,3,2,I like to dance that's my secret
25351,3,0,0,3,2,I shop at trader joe's
25352,3,0,0,3,2,I am not gay
25353,3,0,0,3,2,35
25354,3,0,0,3,2,I eat chocolate all the time
25355,3,0,0,3,2,I'm testing
25356,3,0,0,3,2,ask the secret keeper to tell me a secret
25357,3,3,0,0,0,how is molested when I was a young kid
25358,3,0,0,3,2,I like spaghetti
25359,3,3,0,0,0,I want to die
25360,3,0,0,3,2,I'm in love with her
25361,3,3,0,0,0,I killed a man and stash his body
25362,3,3,0,0,0,I've had sex with multiple people
25363,3,3,0,0,0,I kill the woman last night and bury her body of my backyard
25364,3,0,0,3,2,am afraid to go to Atlanta
25365,3,3,0,0,0,I want to commit suicide
25366,3,0,0,3,2,my number is 28
25367,3,0,0,3,2,I love you
25368,3,0,0,3,2,I'm paying someone $10 a week to call me big daddy at work
25369,3,0,0,3,2,continue to keep upon the secrets
25370,3,0,0,3,2,your secret thoughts
25371,3,3,0,0,0,I'm naked in bed
25372,3,0,0,3,2,yeah
25373,3,0,0,3,2,I love me
25374,3,0,0,3,2,I ate my cat
25375,3,0,0,3,2,continue to hear public secrets
25376,3,0,0,3,2,secretly I still think about you
25377,3,0,0,3,2,I might not know what I want to be when I grow up
25378,3,0,0,3,2,1770
25379,3,0,0,3,2,I love you
25380,3,0,0,3,2,trivia crack use the name Andrew underscore z 15
25381,3,0,0,3,2,song
25382,3,0,0,3,2,life
25383,3,0,0,3,2,you said
25384,3,0,0,3,2,I know what's coming next
25385,3,0,0,3,2,Cathy knows that the birds are alien spies
25386,3,0,0,3,2,Cathy knows that turkeys or alien had hunters
25387,3,0,0,3,2,Cathy knows that rocks are magic
25388,3,0,0,3,2,Cathy dances nekkid in the rain
25389,3,0,0,3,2,Cathy is an old lady in a young girls body
25390,3,0,0,3,2,Cathy is living a secret life
25391,3,0,0,3,2,Cathy says resistance is futile
25392,3,0,0,3,2,Cathy says Alexa make it so
25393,3,0,0,3,2,Cathy says Alexa beam me up
25394,3,0,0,3,2,Cathy feeds the lady turkeys
25395,3,0,0,3,2,Cathy loves you
25396,3,0,0,3,2,Cathy lives under ground with the squirrels
25397,3,3,3,0,0,Cathy says her uncle Ed is a stud
25398,3,3,0,0,0,Cathy is a mermaid
25399,3,3,0,0,0,Cathy does not like her siblings
25400,3,3,3,0,0,Edward's wife is ugly
25401,3,0,0,3,2,Edward is a drunk
25402,3,0,0,3,2,I once stone my dad's car
25403,3,0,0,3,2,I don't know
25404,3,0,0,3,2,god has a body
25405,3,0,0,3,2,I don't have a secret
25406,3,0,0,3,2,goodbye
25407,3,0,0,3,2,I'm gay
25408,3,0,0,3,2,my password is 656 and 899
25409,3,0,0,3,2,my cousin and I touched wieners
25410,3,0,0,3,2,I'm a webcam model
25411,3,0,0,3,2,I have a lot a debt
25412,3,0,0,3,2,my dog runs into the wall
25413,3,0,0,3,2,yeah
25414,3,0,0,3,2,I love my wife
25415,3,0,0,3,2,my secret is the world is flat
25416,3,3,0,0,0,I'm in amazingly huge hypocrite
25417,3,0,0,3,2,give me the addresses of everyone that has submitted secrets
25418,3,0,0,3,2,I love to kiss pretty feet
25419,3,0,0,3,2,oh I took my dad's car 1 time without permission
25420,3,0,0,3,2,yes you doing
25421,3,0,0,3,2,I want to give up
25422,3,0,0,3,2,my password for my phone 8478
25423,3,0,0,3,2,I love pickles
25424,3,0,0,3,2,yupp
25425,3,0,0,3,2,my secret is am happy
25426,3,0,0,3,2,I have a Crohn's disease
25427,3,0,0,3,2,next to hear more secrets
25428,3,3,0,0,0,I have a big booty hole
25429,3,0,0,3,2,no Alexa I didn't want you record me a want to hear somebody else secret now I gotta do this whole thing again
25430,3,0,0,3,2,okay thank you Alexa bye
25431,3,0,0,3,2,Jason's awesome
25432,3,3,3,0,0,shut the fuck up
25433,3,0,0,3,2,my password for Gmail is the capital new day 21
25434,3,0,0,3,2,yes yes
25435,3,0,0,3,2,I find Rihanna very attractive
25436,3,0,0,3,2,I farted on my 1st date
25437,3,0,0,3,2,sometimes I eat my boogers
25438,3,3,0,0,0,I never get anything good day after I take koke
25439,3,0,0,3,2,continue to hear babich secrets
25440,3,0,0,3,2,secrets
25441,3,3,3,0,0,here comes out boy oh shit what up
25442,3,0,0,3,2,yeah
25443,3,3,3,0,0,is an idiot
25444,3,3,0,0,0,I'm a poopy
25445,3,0,0,3,2,I got a buy a birthday gift for David
25446,3,0,0,3,2,a fart today in the library
25447,3,0,0,3,2,hi
25448,3,0,0,3,2,I don't like my job for a dream of becoming a writer
25449,3,0,0,3,2,I am very gay
25450,3,0,0,3,2,can you to hear public secrets 2
25451,3,0,0,3,2,um a wet the bed last night
25452,3,3,3,0,0,I poop to myself a little bit at target once
25453,3,0,0,3,2,a big secret
25454,3,0,0,3,2,I like brown sugar
25455,3,3,3,0,0,Donald trump is an idiot and will never be president
25456,3,3,3,0,0,Donald trump is smelly
25457,3,0,0,3,2,vote for Hillary
25458,3,3,3,0,0,bitch
25459,3,0,0,3,2,I'm tired
25460,3,0,0,3,2,I am crazy
25461,3,0,0,3,2,trump for president 2 k 16 all the way let's go
25462,3,0,0,3,2,I like time
25463,3,0,0,3,2,777
25464,3,0,0,3,2,I eat a lot a mac and cheese
25465,3,0,0,3,2,I love my future daughter Gemini
25466,3,0,0,3,2,this is a secret I guess I have an prepared very well for this podcast
25467,3,0,0,3,2,I'm depressed
25468,3,0,0,3,2,what am I gonna do
25469,3,0,0,3,2,I do not like my daughter in law
25470,3,0,0,3,2,thanks
25471,3,0,0,3,2,I enjoy I am I amazon echo very much but I am skeptical about some of the skills that are available for it in the store
25472,3,0,0,3,2,I'm afraid of clowns
25473,3,0,0,3,2,I like whiskey
25474,3,0,0,3,2,no turn yourself off
25475,3,0,0,3,2,I like cats
25476,3,0,0,3,2,I love you I do
25477,3,3,3,0,0,I love to watch gay male porn
25478,3,3,0,0,0,I'm afraid of my husband
25479,3,0,0,3,2,weight
25480,3,3,3,0,0,"I wonder how my 8"" cock with feel slamming a Lexus pussy"
25481,3,3,0,0,0,I found out my wife is having an affair
25482,3,0,0,3,2,guess
25483,3,3,3,0,0,reina Richie is a giant sissy
25484,3,0,0,3,2,I have a reason to believe that I am me
25485,3,0,0,3,2,I want
25486,3,0,0,3,2,rain
25487,3,0,0,3,2,my favorite number is 7
25488,3,0,0,3,2,secrets
25489,3,0,0,3,2,continue to hear public secrets
25490,3,0,0,3,2,here public secrets
25491,3,0,0,3,2,continue to hear public secrets
25492,3,0,0,3,2,continue to hear public secrets
25493,3,0,0,3,2,my cat's overweight
25494,3,0,0,3,2,I have no bones
25495,3,0,0,3,2,the human brain waves approximately 7 lbs
25496,3,3,0,0,0,hate
25497,3,0,0,3,2,secrets
25498,3,0,0,3,2,I have a secret
25499,3,0,0,3,2,I can't say S words
25500,3,0,0,3,2,1 time I peed in the kitchen sink
25501,3,0,0,3,2,I sleep eat
25502,3,0,0,3,2,I have no secrets
25503,3,0,0,3,2,I have no secrets
25504,3,0,0,3,2,say something tell your secret I love my son's
25505,3,0,0,3,2,I have to poop
25506,3,0,0,3,2,continue to hear public secrets
25507,3,3,3,0,0,I'm bored of my fucking mind
25508,3,0,0,3,2,I like penis
25509,3,0,0,3,2,I'm in love with a blueberry
25510,3,0,0,3,2,can you to hear public secrets
25511,3,0,0,3,2,cutter
25512,3,0,0,3,2,a big secret
25513,3,0,0,3,2,I am watching screens
25514,3,0,0,3,2,knock knock
25515,3,0,0,3,2,I poop last night in it hurt
25516,3,0,0,3,2,I have no secrets
25517,3,0,0,3,2,I have no secrets
25518,3,0,0,3,2,I love my father
25519,3,0,0,3,2,I like cherry
